InicioPeriodo,FimPeriodo,codigoSegmento,Segmento,codigoModalidade,Modalidade,Posicao,InstituicaoFinanceira,TaxaJurosAoMes,TaxaJurosAoAno,cnpj8
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,1,BCO SOCIETE GENERALE BRASIL,0.0,0.0,61533584
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,2,BCO MIZUHO S.A.,0.08,0.97,61088183
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,3,BCO CRÉDIT AGRICOLE BR S.A.,0.38,4.71,75647891
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,4,BCO RABOBANK INTL BRASIL S.A.,0.44,5.37,01023570
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,5,BCO DO BRASIL S.A.,0.45,5.51,00000000
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,6,BCO BNP PARIBAS BRASIL S A,0.45,5.52,01522368
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,7,BCO SUMITOMO MITSUI BRASIL S.A.,0.48,5.86,60518222
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,8,BCO CITIBANK S.A.,0.48,5.94,33479023
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,9,BCO HSBC S.A.,0.49,5.98,53518684
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,10,BCO CAIXA GERAL BRASIL S.A.,0.52,6.45,33466988
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,11,ITAÚ UNIBANCO S.A.,0.54,6.61,60701190
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,12,BCO BRADESCO S.A.,0.54,6.61,60746948
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,13,BCO SANTANDER (BRASIL) S.A.,0.56,6.93,90400888
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,14,BCO ABC BRASIL S.A.,0.57,7.04,28195667
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,15,BCO DO NORDESTE DO BRASIL S.A.,0.62,7.69,07237373
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,16,CAIXA ECONOMICA FEDERAL,0.63,7.81,00360305
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,17,BCO VOTORANTIM S.A.,0.64,7.91,59588111
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,18,BCO SAFRA S.A.,0.65,8.09,58160789
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,19,BCO DO ESTADO DO RS S.A.,0.67,8.39,92702067
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,20,BCO COOPERATIVO SICREDI S.A.,0.69,8.58,01181521
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,21,BCO FIBRA S.A.,0.69,8.65,58616418
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,22,BANCO BTG PACTUAL S.A.,0.71,8.84,30306294
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,23,BCO SOFISA S.A.,0.71,8.88,60889128
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,24,BCO DA CHINA BRASIL S.A.,0.71,8.92,10690848
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,25,BCO INDUSTRIAL DO BRASIL S.A.,0.72,8.97,31895683
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,26,BCO DAYCOVAL S.A,0.74,9.2,62232889
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,27,BCO C6 S.A.,0.76,9.53,31872495
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,28,BANCO SICOOB S.A.,0.78,9.78,02038232
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,29,BCO LUSO BRASILEIRO S.A.,0.96,12.2,59118133
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,30,TRAVELEX BANCO DE CÂMBIO S.A.,1.17,15.0,11703662
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,31,BANCO VOITER,1.19,15.2,61024352
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,32,BCO BS2 S.A.,1.25,16.13,71027866
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira,33,NOVO BCO CONTINENTAL S.A. - BM,4.42,67.98,74828799
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO VOTORANTIM S.A.,0.9,11.34,59588111
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,2,NU FINANCEIRA S.A. CFI,0.91,11.47,30680829
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,3,ITAÚ UNIBANCO S.A.,0.91,11.47,60701190
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SAFRA S.A.,0.91,11.52,58160789
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,0.92,11.64,60746948
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO FIBRA S.A.,0.92,11.65,58616418
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BANCO BTG PACTUAL S.A.,0.94,11.89,30306294
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,8,BCO DO BRASIL S.A.,0.95,12.05,00000000
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,9,BCO HSBC S.A.,1.0,12.71,53518684
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,10,BCO XP S.A.,1.15,14.64,33264668
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,11,BCO SANTANDER (BRASIL) S.A.,1.17,14.93,90400888
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,12,BCO SENFF S.A.,1.67,21.94,11970623
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,13,BCO DA AMAZONIA S.A.,1.79,23.68,04902979
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Antecipação de faturas de cartão de crédito - Pré-fixado,14,BCO RIBEIRAO PRETO S.A.,1.96,26.3,00517645
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,1,SINOSSERRA S/A - SCFI,0.3,3.61,22639377
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,2,DEUTSCHE SPARKASSEN LEASING DO BRASIL BM S.A.,0.75,9.38,23511655
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,3,BCO DE LAGE LANDEN BRASIL S.A.,1.14,14.58,05040481
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,4,BCO CATERPILLAR S.A.,1.23,15.75,02658435
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,5,BCO VOLVO BRASIL S.A.,1.3,16.82,58017179
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,6,BANCO SICOOB S.A.,1.31,16.96,02038232
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,7,BCO VOLKSWAGEN S.A,1.42,18.42,59109165
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,8,BANCO CNH INDUSTRIAL CAPITAL S.A,1.43,18.5,02992446
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,9,BCO DO EST. DO PA S.A.,1.55,20.24,04913711
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,10,BCO BANESTES S.A.,1.67,21.96,28127603
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,11,BCO BRADESCO S.A.,1.78,23.61,60746948
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,12,TODESCREDI S/A - CFI,1.95,26.03,09473806
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,13,BCO DO ESTADO DO RS S.A.,1.95,26.03,92702067
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,14,AYMORÉ CFI S.A.,1.95,26.09,07707650
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,15,BCO SANTANDER (BRASIL) S.A.,1.98,26.52,90400888
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,16,BCO VOTORANTIM S.A.,2.19,29.68,59588111
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,17,BCO DO BRASIL S.A.,2.21,30.05,00000000
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,18,BCO BRADESCO FINANC. S.A.,2.66,37.09,07207996
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,19,BCO SENFF S.A.,2.9,40.89,11970623
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,20,BCO RENDIMENTO S.A.,3.67,54.03,68900810
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,21,HS FINANCEIRA,3.75,55.58,07512441
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,22,LEBES FINANCEIRA CFI SA,3.79,56.19,11271860
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,23,BECKER FINANCEIRA SA - CFI,4.17,63.29,20443996
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,24,KREDILIG S.A. - CFI,4.46,68.8,06040559
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,25,CENTROCRED S.A. CFI,4.73,74.2,26225776
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,26,CREDIARE CFI S.A.,4.98,79.26,05676026
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,27,BANCO INTER,5.78,96.29,00416968
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,28,VIA CERTA FINANCIADORA S.A. - CFI,5.84,97.67,05192316
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,29,GRAZZIOTIN FINANCEIRA S/A,6.22,106.18,06339468
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,30,NEGRESCO S.A. - CFI,6.83,120.89,04379829
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,31,MERCADO CRÉDITO SCFI S.A.,6.96,124.21,37679449
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,32,GAZINCRED S.A. SCFI,7.14,128.87,11760553
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,33,BANCO SEMEAR,7.2,130.39,00795423
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,34,ZEMA CFI S/A,7.34,133.94,05351887
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de outros bens - Pré-fixado,35,AGORACRED S/A SCFI,7.48,137.77,36321990
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,1,BMW FINANCEIRA S.A. - CFI,0.65,8.07,04452473
